query,ground_truth_id,top_1_match,top_1_match_id,top_1_accuracy,top_1_score,precision_at_5
../Real\102__M_Right_index_finger.BMP,102,102__M_Right_index_finger.BMP,102,1,0.9999999506706932,0.2
../Real\102__M_Right_little_finger.BMP,102,102__M_Right_little_finger.BMP,102,1,0.9999999715873119,0.2
../Real\102__M_Right_middle_finger.BMP,102,102__M_Right_middle_finger.BMP,102,1,0.9999999660563034,0.2
../Real\102__M_Right_ring_finger.BMP,102,102__M_Right_ring_finger.BMP,102,1,0.9999999618092701,0.2
../Real\102__M_Right_thumb_finger.BMP,102,102__M_Right_thumb_finger.BMP,102,1,0.9999999781457487,0.2
../Real\103__F_Left_index_finger.BMP,103,103__F_Left_index_finger.BMP,103,1,0.9999999505892195,0.2
../Real\103__F_Left_little_finger.BMP,103,103__F_Left_little_finger.BMP,103,1,0.9999999695091427,0.2
../Real\103__F_Left_middle_finger.BMP,103,103__F_Left_middle_finger.BMP,103,1,0.9999999558421216,0.2
../Real\103__F_Left_ring_finger.BMP,103,103__F_Left_ring_finger.BMP,103,1,0.999999943742681,0.2
../Real\103__F_Left_thumb_finger.BMP,103,103__F_Left_thumb_finger.BMP,103,1,0.9999999648820137,0.2
../Real\103__F_Right_index_finger.BMP,103,103__F_Right_index_finger.BMP,103,1,0.9999999365889622,0.2
../Real\103__F_Right_little_finger.BMP,103,103__F_Right_little_finger.BMP,103,1,0.9999999739916936,0.2
../Real\103__F_Right_middle_finger.BMP,103,103__F_Right_middle_finger.BMP,103,1,0.999999979436197,0.2
../Real\103__F_Right_ring_finger.BMP,103,103__F_Right_ring_finger.BMP,103,1,0.9999999498361489,0.2
../Real\103__F_Right_thumb_finger.BMP,103,103__F_Right_thumb_finger.BMP,103,1,0.9999999465328541,0.2
../Real\104__M_Left_index_finger.BMP,104,104__M_Left_index_finger.BMP,104,1,0.9999999648174328,0.2
../Real\104__M_Left_little_finger.BMP,104,104__M_Left_little_finger.BMP,104,1,0.9999999581010327,0.2
../Real\104__M_Left_middle_finger.BMP,104,104__M_Left_middle_finger.BMP,104,1,0.9999999925225604,0.2
../Real\104__M_Left_ring_finger.BMP,104,104__M_Left_ring_finger.BMP,104,1,0.9999999926297006,0.2
../Real\104__M_Left_thumb_finger.BMP,104,104__M_Left_thumb_finger.BMP,104,1,0.9999999543486823,0.2
../Real\104__M_Right_index_finger.BMP,104,104__M_Right_index_finger.BMP,104,1,0.9999999639213587,0.2
../Real\104__M_Right_little_finger.BMP,104,104__M_Right_little_finger.BMP,104,1,0.9999999875405411,0.2
../Real\104__M_Right_middle_finger.BMP,104,104__M_Right_middle_finger.BMP,104,1,0.9999999786396063,0.2
../Real\104__M_Right_ring_finger.BMP,104,104__M_Right_ring_finger.BMP,104,1,0.9999999693162105,0.2
../Real\104__M_Right_thumb_finger.BMP,104,104__M_Right_thumb_finger.BMP,104,1,0.9999999520355525,0.2
../Real\105__M_Left_index_finger.BMP,105,105__M_Left_index_finger.BMP,105,1,0.9999999780942405,0.2
../Real\105__M_Left_little_finger.BMP,105,105__M_Left_little_finger.BMP,105,1,0.9999999681596956,0.2
../Real\105__M_Left_middle_finger.BMP,105,105__M_Left_middle_finger.BMP,105,1,0.9999999763428763,0.2
../Real\105__M_Left_ring_finger.BMP,105,105__M_Left_ring_finger.BMP,105,1,0.9999999902186817,0.2
../Real\105__M_Left_thumb_finger.BMP,105,105__M_Left_thumb_finger.BMP,105,1,0.9999999394895313,0.2
../Real\105__M_Right_index_finger.BMP,105,105__M_Right_index_finger.BMP,105,1,0.9999999798980479,0.2
../Real\105__M_Right_little_finger.BMP,105,105__M_Right_little_finger.BMP,105,1,0.9999999632635096,0.2
../Real\105__M_Right_middle_finger.BMP,105,105__M_Right_middle_finger.BMP,105,1,0.9999999286866418,0.2
../Real\105__M_Right_ring_finger.BMP,105,105__M_Right_ring_finger.BMP,105,1,0.9999999753945805,0.2
../Real\105__M_Right_thumb_finger.BMP,105,105__M_Right_thumb_finger.BMP,105,1,0.9999999526338714,0.2
../Real\106__M_Left_index_finger.BMP,106,106__M_Left_index_finger.BMP,106,1,0.9999999568937513,0.2
../Real\106__M_Left_little_finger.BMP,106,106__M_Left_little_finger.BMP,106,1,0.9999999553595064,0.2
../Real\106__M_Left_middle_finger.BMP,106,106__M_Left_middle_finger.BMP,106,1,0.9999999548612473,0.2
../Real\106__M_Left_ring_finger.BMP,106,106__M_Left_ring_finger.BMP,106,1,0.9999999682736835,0.2
../Real\106__M_Left_thumb_finger.BMP,106,106__M_Left_thumb_finger.BMP,106,1,0.9999999732938117,0.2
../Real\106__M_Right_index_finger.BMP,106,106__M_Right_index_finger.BMP,106,1,0.9999999587667628,0.2
../Real\106__M_Right_little_finger.BMP,106,106__M_Right_little_finger.BMP,106,1,0.9999999801786511,0.2
../Real\106__M_Right_middle_finger.BMP,106,106__M_Right_middle_finger.BMP,106,1,0.9999999627357539,0.2
../Real\106__M_Right_ring_finger.BMP,106,106__M_Right_ring_finger.BMP,106,1,0.9999999779161844,0.2
../Real\106__M_Right_thumb_finger.BMP,106,106__M_Right_thumb_finger.BMP,106,1,0.9999999770971009,0.2
../Real\107__M_Left_index_finger.BMP,107,107__M_Left_index_finger.BMP,107,1,0.9999999803037231,0.2
../Real\107__M_Left_little_finger.BMP,107,107__M_Left_little_finger.BMP,107,1,0.999999951157734,0.2
../Real\107__M_Left_middle_finger.BMP,107,107__M_Left_middle_finger.BMP,107,1,0.9999999649172346,0.2
../Real\107__M_Left_ring_finger.BMP,107,107__M_Left_ring_finger.BMP,107,1,0.9999999754517281,0.2
../Real\107__M_Left_thumb_finger.BMP,107,107__M_Left_thumb_finger.BMP,107,1,0.9999999914816348,0.2
../Real\107__M_Right_index_finger.BMP,107,107__M_Right_index_finger.BMP,107,1,0.9999999800863244,0.2
../Real\107__M_Right_little_finger.BMP,107,107__M_Right_little_finger.BMP,107,1,0.9999999870854396,0.2
../Real\107__M_Right_middle_finger.BMP,107,107__M_Right_middle_finger.BMP,107,1,0.9999999843815054,0.2
../Real\107__M_Right_ring_finger.BMP,107,107__M_Right_ring_finger.BMP,107,1,0.9999999737607651,0.2
../Real\107__M_Right_thumb_finger.BMP,107,107__M_Right_thumb_finger.BMP,107,1,0.9999999720665346,0.2
../Real\108__M_Left_index_finger.BMP,108,108__M_Left_index_finger.BMP,108,1,0.9999999839629217,0.2
../Real\108__M_Left_little_finger.BMP,108,108__M_Left_little_finger.BMP,108,1,0.9999999508399451,0.2
../Real\108__M_Left_middle_finger.BMP,108,108__M_Left_middle_finger.BMP,108,1,0.9999999766597939,0.2
../Real\108__M_Left_ring_finger.BMP,108,108__M_Left_ring_finger.BMP,108,1,0.9999999447941501,0.2
../Real\108__M_Left_thumb_finger.BMP,108,108__M_Left_thumb_finger.BMP,108,1,0.9999999857005609,0.2
../Real\108__M_Right_index_finger.BMP,108,108__M_Right_index_finger.BMP,108,1,0.9999999243547305,0.2
../Real\108__M_Right_little_finger.BMP,108,108__M_Right_little_finger.BMP,108,1,0.9999999836857488,0.2
../Real\108__M_Right_middle_finger.BMP,108,108__M_Right_middle_finger.BMP,108,1,0.9999999759695714,0.2
../Real\108__M_Right_ring_finger.BMP,108,108__M_Right_ring_finger.BMP,108,1,0.9999999810346597,0.2
../Real\108__M_Right_thumb_finger.BMP,108,108__M_Right_thumb_finger.BMP,108,1,0.9999999871955119,0.2
../Real\109__F_Left_index_finger.BMP,109,109__F_Left_index_finger.BMP,109,1,0.9999999740247114,0.2
../Real\109__F_Left_little_finger.BMP,109,109__F_Left_little_finger.BMP,109,1,0.9999999886822939,0.2
../Real\109__F_Left_middle_finger.BMP,109,109__F_Left_middle_finger.BMP,109,1,0.9999999597340804,0.2
../Real\109__F_Left_ring_finger.BMP,109,109__F_Left_ring_finger.BMP,109,1,0.9999999833792246,0.2
../Real\109__F_Left_thumb_finger.BMP,109,109__F_Left_thumb_finger.BMP,109,1,0.9999999655720825,0.2
../Real\109__F_Right_index_finger.BMP,109,109__F_Right_index_finger.BMP,109,1,0.9999999307078247,0.2
../Real\109__F_Right_little_finger.BMP,109,109__F_Right_little_finger.BMP,109,1,0.9999999379326835,0.2
../Real\109__F_Right_middle_finger.BMP,109,109__F_Right_middle_finger.BMP,109,1,0.9999999469431059,0.2
../Real\109__F_Right_ring_finger.BMP,109,109__F_Right_ring_finger.BMP,109,1,0.9999999927904566,0.2
../Real\109__F_Right_thumb_finger.BMP,109,109__F_Right_thumb_finger.BMP,109,1,0.999999958765431,0.2
../Real\10__M_Left_index_finger.BMP,10,10__M_Left_index_finger.BMP,10,1,0.9999999476448178,0.2
../Real\10__M_Left_little_finger.BMP,10,10__M_Left_little_finger.BMP,10,1,0.9999999532963273,0.2
../Real\10__M_Left_middle_finger.BMP,10,10__M_Left_middle_finger.BMP,10,1,0.9999999946195584,0.2
../Real\10__M_Left_ring_finger.BMP,10,10__M_Left_ring_finger.BMP,10,1,0.9999999896113815,0.2
../Real\10__M_Left_thumb_finger.BMP,10,10__M_Left_thumb_finger.BMP,10,1,0.9999999839828347,0.2
../Real\10__M_Right_index_finger.BMP,10,10__M_Right_index_finger.BMP,10,1,0.9999999756684407,0.2
../Real\10__M_Right_little_finger.BMP,10,10__M_Right_little_finger.BMP,10,1,0.9999999387242173,0.2
../Real\10__M_Right_middle_finger.BMP,10,10__M_Right_middle_finger.BMP,10,1,0.9999999660539969,0.2
../Real\10__M_Right_ring_finger.BMP,10,10__M_Right_ring_finger.BMP,10,1,0.9999999866785795,0.2
../Real\10__M_Right_thumb_finger.BMP,10,10__M_Right_thumb_finger.BMP,10,1,0.9999999457557381,0.2
../Real\110__F_Left_index_finger.BMP,110,110__F_Left_index_finger.BMP,110,1,0.9999999761023527,0.2
../Real\110__F_Left_little_finger.BMP,110,110__F_Left_little_finger.BMP,110,1,0.999999986970834,0.2
../Real\110__F_Left_middle_finger.BMP,110,110__F_Left_middle_finger.BMP,110,1,0.9999999422173862,0.2
../Real\110__F_Left_ring_finger.BMP,110,110__F_Left_ring_finger.BMP,110,1,0.9999999387491363,0.2
../Real\110__F_Left_thumb_finger.BMP,110,110__F_Left_thumb_finger.BMP,110,1,0.9999999689059055,0.2
../Real\110__F_Right_index_finger.BMP,110,110__F_Right_index_finger.BMP,110,1,0.9999999739745266,0.2
../Real\110__F_Right_little_finger.BMP,110,110__F_Right_little_finger.BMP,110,1,0.9999999683798112,0.2
../Real\110__F_Right_middle_finger.BMP,110,110__F_Right_middle_finger.BMP,110,1,0.9999999665360461,0.2
../Real\110__F_Right_ring_finger.BMP,110,110__F_Right_ring_finger.BMP,110,1,0.9999999726958967,0.2
../Real\110__F_Right_thumb_finger.BMP,110,110__F_Right_thumb_finger.BMP,110,1,0.999999990241863,0.2
../Real\111__M_Left_index_finger.BMP,111,111__M_Left_index_finger.BMP,111,1,0.9999999959466205,0.2
../Real\111__M_Left_little_finger.BMP,111,111__M_Left_little_finger.BMP,111,1,0.9999999470607548,0.2
../Real\111__M_Left_middle_finger.BMP,111,111__M_Left_middle_finger.BMP,111,1,0.999999933604849,0.2
../Real\111__M_Left_ring_finger.BMP,111,111__M_Left_ring_finger.BMP,111,1,0.9999999616578183,0.2
../Real\111__M_Left_thumb_finger.BMP,111,111__M_Left_thumb_finger.BMP,111,1,0.9999999627897921,0.2
../Real\111__M_Right_index_finger.BMP,111,111__M_Right_index_finger.BMP,111,1,0.9999999616077745,0.2
../Real\111__M_Right_little_finger.BMP,111,111__M_Right_little_finger.BMP,111,1,0.9999999429638882,0.2
../Real\111__M_Right_middle_finger.BMP,111,111__M_Right_middle_finger.BMP,111,1,0.9999999539123934,0.2
../Real\111__M_Right_ring_finger.BMP,111,111__M_Right_ring_finger.BMP,111,1,0.9999999606699088,0.2
../Real\111__M_Right_thumb_finger.BMP,111,111__M_Right_thumb_finger.BMP,111,1,0.9999999436667151,0.2
../Real\112__M_Left_index_finger.BMP,112,112__M_Left_index_finger.BMP,112,1,0.9999999548961562,0.2
../Real\112__M_Left_little_finger.BMP,112,112__M_Left_little_finger.BMP,112,1,0.999999973351695,0.2
../Real\112__M_Left_middle_finger.BMP,112,112__M_Left_middle_finger.BMP,112,1,0.999999984423321,0.2
../Real\112__M_Left_ring_finger.BMP,112,112__M_Left_ring_finger.BMP,112,1,0.9999999772483308,0.2
../Real\112__M_Left_thumb_finger.BMP,112,112__M_Left_thumb_finger.BMP,112,1,0.9999999364498238,0.2
../Real\112__M_Right_index_finger.BMP,112,112__M_Right_index_finger.BMP,112,1,0.9999999718486411,0.2
../Real\112__M_Right_little_finger.BMP,112,112__M_Right_little_finger.BMP,112,1,0.9999999663673966,0.2
../Real\112__M_Right_middle_finger.BMP,112,112__M_Right_middle_finger.BMP,112,1,0.999999965127511,0.2
../Real\112__M_Right_ring_finger.BMP,112,112__M_Right_ring_finger.BMP,112,1,0.9999999829192504,0.2
../Real\112__M_Right_thumb_finger.BMP,112,112__M_Right_thumb_finger.BMP,112,1,0.9999999780604898,0.2
../Real\113__M_Left_index_finger.BMP,113,113__M_Left_index_finger.BMP,113,1,0.9999999648071722,0.2
../Real\113__M_Left_little_finger.BMP,113,113__M_Left_little_finger.BMP,113,1,0.9999999792305133,0.2
../Real\113__M_Left_middle_finger.BMP,113,113__M_Left_middle_finger.BMP,113,1,0.9999999892151704,0.2
../Real\113__M_Left_ring_finger.BMP,113,113__M_Left_ring_finger.BMP,113,1,0.9999999675318386,0.2
../Real\113__M_Left_thumb_finger.BMP,113,113__M_Left_thumb_finger.BMP,113,1,0.9999999815633872,0.2
../Real\113__M_Right_index_finger.BMP,113,113__M_Right_index_finger.BMP,113,1,0.9999999482498441,0.2
../Real\113__M_Right_little_finger.BMP,113,113__M_Right_little_finger.BMP,113,1,0.999999959383768,0.2
../Real\113__M_Right_middle_finger.BMP,113,113__M_Right_middle_finger.BMP,113,1,0.9999999609977218,0.2
../Real\113__M_Right_ring_finger.BMP,113,113__M_Right_ring_finger.BMP,113,1,0.9999999841872808,0.2
../Real\113__M_Right_thumb_finger.BMP,113,113__M_Right_thumb_finger.BMP,113,1,0.9999999550639513,0.2
../Real\114__F_Left_index_finger.BMP,114,114__F_Left_index_finger.BMP,114,1,0.9999999756003044,0.2
../Real\114__F_Left_little_finger.BMP,114,114__F_Left_little_finger.BMP,114,1,0.9999999503403724,0.2
../Real\114__F_Left_middle_finger.BMP,114,114__F_Left_middle_finger.BMP,114,1,0.9999999542477446,0.2
../Real\114__F_Left_ring_finger.BMP,114,114__F_Left_ring_finger.BMP,114,1,0.9999999556344771,0.2
../Real\114__F_Left_thumb_finger.BMP,114,114__F_Left_thumb_finger.BMP,114,1,0.9999999670618862,0.2
../Real\114__F_Right_index_finger.BMP,114,114__F_Right_index_finger.BMP,114,1,0.9999999818933402,0.2
../Real\114__F_Right_little_finger.BMP,114,114__F_Right_little_finger.BMP,114,1,0.9999999684382836,0.2
../Real\114__F_Right_middle_finger.BMP,114,114__F_Right_middle_finger.BMP,114,1,0.9999999783062195,0.2
../Real\114__F_Right_ring_finger.BMP,114,114__F_Right_ring_finger.BMP,114,1,0.9999999651677007,0.2
../Real\114__F_Right_thumb_finger.BMP,114,114__F_Right_thumb_finger.BMP,114,1,0.9999999801887459,0.2
../Real\115__F_Left_index_finger.BMP,115,115__F_Left_index_finger.BMP,115,1,0.9999999503251802,0.2
../Real\115__F_Left_little_finger.BMP,115,115__F_Left_little_finger.BMP,115,1,0.9999999586271157,0.2
../Real\115__F_Left_middle_finger.BMP,115,115__F_Left_middle_finger.BMP,115,1,0.9999999709174698,0.2
../Real\115__F_Left_ring_finger.BMP,115,115__F_Left_ring_finger.BMP,115,1,0.9999999659345348,0.2
../Real\115__F_Left_thumb_finger.BMP,115,115__F_Left_thumb_finger.BMP,115,1,0.9999999478201617,0.2
../Real\115__F_Right_index_finger.BMP,115,115__F_Right_index_finger.BMP,115,1,0.999999945070442,0.2
../Real\115__F_Right_little_finger.BMP,115,115__F_Right_little_finger.BMP,115,1,0.9999999832566947,0.2
../Real\115__F_Right_middle_finger.BMP,115,115__F_Right_middle_finger.BMP,115,1,0.9999999930852725,0.2
../Real\115__F_Right_ring_finger.BMP,115,115__F_Right_ring_finger.BMP,115,1,0.9999999839818834,0.2
../Real\115__F_Right_thumb_finger.BMP,115,115__F_Right_thumb_finger.BMP,115,1,0.9999999517983784,0.2
../Real\116__M_Left_index_finger.BMP,116,116__M_Left_index_finger.BMP,116,1,0.9999999737910077,0.2
../Real\116__M_Left_little_finger.BMP,116,116__M_Left_little_finger.BMP,116,1,0.9999999596216065,0.2
../Real\116__M_Left_middle_finger.BMP,116,116__M_Left_middle_finger.BMP,116,1,0.9999999604042511,0.2
../Real\116__M_Left_ring_finger.BMP,116,116__M_Left_ring_finger.BMP,116,1,0.999999957306965,0.2
../Real\116__M_Left_thumb_finger.BMP,116,116__M_Left_thumb_finger.BMP,116,1,0.999999988496406,0.2
../Real\116__M_Right_index_finger.BMP,116,116__M_Right_index_finger.BMP,116,1,0.999999953314202,0.2
../Real\116__M_Right_little_finger.BMP,116,116__M_Right_little_finger.BMP,116,1,0.9999999813387781,0.2
../Real\116__M_Right_middle_finger.BMP,116,116__M_Right_middle_finger.BMP,116,1,0.9999999585432507,0.2
../Real\116__M_Right_ring_finger.BMP,116,116__M_Right_ring_finger.BMP,116,1,0.9999999417505127,0.2
../Real\116__M_Right_thumb_finger.BMP,116,116__M_Right_thumb_finger.BMP,116,1,0.9999999649895633,0.2
../Real\117__F_Left_index_finger.BMP,117,117__F_Left_index_finger.BMP,117,1,0.9999999632490824,0.2
../Real\117__F_Left_little_finger.BMP,117,117__F_Left_little_finger.BMP,117,1,0.999999962404332,0.2
../Real\117__F_Left_middle_finger.BMP,117,117__F_Left_middle_finger.BMP,117,1,0.9999999784298738,0.2
../Real\117__F_Left_ring_finger.BMP,117,117__F_Left_ring_finger.BMP,117,1,0.9999999286226327,0.2
../Real\117__F_Left_thumb_finger.BMP,117,117__F_Left_thumb_finger.BMP,117,1,0.9999999804271757,0.2
../Real\117__F_Right_index_finger.BMP,117,117__F_Right_index_finger.BMP,117,1,0.9999999907684783,0.2
../Real\117__F_Right_little_finger.BMP,117,117__F_Right_little_finger.BMP,117,1,0.9999999464774737,0.2
../Real\117__F_Right_middle_finger.BMP,117,117__F_Right_middle_finger.BMP,117,1,0.9999999877170053,0.2
../Real\117__F_Right_ring_finger.BMP,117,117__F_Right_ring_finger.BMP,117,1,0.9999999608417186,0.2
../Real\117__F_Right_thumb_finger.BMP,117,117__F_Right_thumb_finger.BMP,117,1,0.9999999729102788,0.2
../Real\118__F_Left_index_finger.BMP,118,118__F_Left_index_finger.BMP,118,1,0.9999999726164434,0.2
../Real\118__F_Left_little_finger.BMP,118,118__F_Left_little_finger.BMP,118,1,0.9999999700540708,0.2
../Real\118__F_Left_middle_finger.BMP,118,118__F_Left_middle_finger.BMP,118,1,0.9999999797913383,0.2
../Real\118__F_Left_ring_finger.BMP,118,118__F_Left_ring_finger.BMP,118,1,0.9999999620545678,0.2
../Real\118__F_Left_thumb_finger.BMP,118,118__F_Left_thumb_finger.BMP,118,1,0.9999999499173977,0.2
../Real\118__F_Right_index_finger.BMP,118,118__F_Right_index_finger.BMP,118,1,0.9999999652322691,0.2
../Real\118__F_Right_little_finger.BMP,118,118__F_Right_little_finger.BMP,118,1,0.9999999845003464,0.2
../Real\118__F_Right_middle_finger.BMP,118,118__F_Right_middle_finger.BMP,118,1,0.9999999769815691,0.2
../Real\118__F_Right_ring_finger.BMP,118,118__F_Right_ring_finger.BMP,118,1,0.9999999638088862,0.2
../Real\118__F_Right_thumb_finger.BMP,118,118__F_Right_thumb_finger.BMP,118,1,0.9999999716967773,0.2
../Real\119__F_Left_index_finger.BMP,119,119__F_Left_index_finger.BMP,119,1,0.9999999875429907,0.2
../Real\119__F_Left_little_finger.BMP,119,119__F_Left_little_finger.BMP,119,1,0.9999999734669865,0.2
../Real\119__F_Left_middle_finger.BMP,119,119__F_Left_middle_finger.BMP,119,1,0.9999999886603911,0.2
../Real\119__F_Left_ring_finger.BMP,119,119__F_Left_ring_finger.BMP,119,1,0.9999999876148372,0.2
../Real\119__F_Left_thumb_finger.BMP,119,119__F_Left_thumb_finger.BMP,119,1,0.999999984933369,0.2
../Real\119__F_Right_index_finger.BMP,119,119__F_Right_index_finger.BMP,119,1,0.9999999903278459,0.2
../Real\119__F_Right_little_finger.BMP,119,119__F_Right_little_finger.BMP,119,1,0.9999999702878808,0.2
../Real\119__F_Right_middle_finger.BMP,119,119__F_Right_middle_finger.BMP,119,1,0.9999999504646933,0.2
../Real\119__F_Right_ring_finger.BMP,119,119__F_Right_ring_finger.BMP,119,1,0.999999953667391,0.2
../Real\119__F_Right_thumb_finger.BMP,119,119__F_Right_thumb_finger.BMP,119,1,0.9999999863866078,0.2
../Real\11__M_Left_index_finger.BMP,11,11__M_Left_index_finger.BMP,11,1,0.9999999776098996,0.2
../Real\11__M_Left_little_finger.BMP,11,11__M_Left_little_finger.BMP,11,1,0.9999999712921009,0.2
../Real\11__M_Left_middle_finger.BMP,11,11__M_Left_middle_finger.BMP,11,1,0.999999936414592,0.2
../Real\11__M_Left_ring_finger.BMP,11,11__M_Left_ring_finger.BMP,11,1,0.9999999791071572,0.2
../Real\11__M_Left_thumb_finger.BMP,11,11__M_Left_thumb_finger.BMP,11,1,0.9999999532311921,0.2
../Real\11__M_Right_index_finger.BMP,11,11__M_Right_index_finger.BMP,11,1,0.9999999882401033,0.2
../Real\11__M_Right_little_finger.BMP,11,11__M_Right_little_finger.BMP,11,1,0.999999989212677,0.2
../Real\11__M_Right_middle_finger.BMP,11,11__M_Right_middle_finger.BMP,11,1,0.9999999739262663,0.2
../Real\11__M_Right_ring_finger.BMP,11,11__M_Right_ring_finger.BMP,11,1,0.9999999847141616,0.4
../Real\11__M_Right_thumb_finger.BMP,11,11__M_Right_thumb_finger.BMP,11,1,0.9999999940498405,0.2
../Real\120__M_Left_index_finger.BMP,120,120__M_Left_index_finger.BMP,120,1,0.9999999812486371,0.2
../Real\120__M_Left_little_finger.BMP,120,120__M_Left_little_finger.BMP,120,1,0.9999999927700121,0.2
../Real\120__M_Left_middle_finger.BMP,120,120__M_Left_middle_finger.BMP,120,1,0.9999999838017815,0.2
../Real\120__M_Left_ring_finger.BMP,120,120__M_Left_ring_finger.BMP,120,1,0.9999999301347434,0.2
../Real\120__M_Left_thumb_finger.BMP,120,120__M_Left_thumb_finger.BMP,120,1,0.9999999790013426,0.2
../Real\120__M_Right_index_finger.BMP,120,120__M_Right_index_finger.BMP,120,1,0.9999999560507703,0.2
../Real\120__M_Right_little_finger.BMP,120,120__M_Right_little_finger.BMP,120,1,0.9999999819375739,0.2
../Real\120__M_Right_middle_finger.BMP,120,120__M_Right_middle_finger.BMP,120,1,0.9999999859740172,0.2
../Real\120__M_Right_ring_finger.BMP,120,120__M_Right_ring_finger.BMP,120,1,0.9999999639449888,0.2
../Real\120__M_Right_thumb_finger.BMP,120,120__M_Right_thumb_finger.BMP,120,1,0.9999999246078477,0.2
../Real\121__F_Left_index_finger.BMP,121,121__F_Left_index_finger.BMP,121,1,0.9999999631154195,0.2
../Real\121__F_Left_little_finger.BMP,121,121__F_Left_little_finger.BMP,121,1,0.99999998849229,0.2
../Real\121__F_Left_middle_finger.BMP,121,121__F_Left_middle_finger.BMP,121,1,0.9999999737433121,0.2
../Real\121__F_Left_ring_finger.BMP,121,121__F_Left_ring_finger.BMP,121,1,0.9999999458791966,0.2
../Real\121__F_Left_thumb_finger.BMP,121,121__F_Left_thumb_finger.BMP,121,1,0.9999999915583849,0.2
../Real\121__F_Right_index_finger.BMP,121,121__F_Right_index_finger.BMP,121,1,0.9999999776643904,0.2
../Real\121__F_Right_little_finger.BMP,121,121__F_Right_little_finger.BMP,121,1,0.9999999885501988,0.2
../Real\121__F_Right_middle_finger.BMP,121,121__F_Right_middle_finger.BMP,121,1,0.9999999543942932,0.2
../Real\121__F_Right_ring_finger.BMP,121,121__F_Right_ring_finger.BMP,121,1,0.9999999616070526,0.4
../Real\121__F_Right_thumb_finger.BMP,121,121__F_Right_thumb_finger.BMP,121,1,0.9999999825533523,0.2
../Real\122__M_Left_index_finger.BMP,122,122__M_Left_index_finger.BMP,122,1,0.9999999709117632,0.2
../Real\122__M_Left_little_finger.BMP,122,122__M_Left_little_finger.BMP,122,1,0.9999999841466265,0.2
../Real\122__M_Left_middle_finger.BMP,122,122__M_Left_middle_finger.BMP,122,1,0.9999999857021505,0.2
../Real\122__M_Left_ring_finger.BMP,122,122__M_Left_ring_finger.BMP,122,1,0.99999998387681,0.2
../Real\122__M_Left_thumb_finger.BMP,122,122__M_Left_thumb_finger.BMP,122,1,0.9999999848600795,0.2
../Real\122__M_Right_index_finger.BMP,122,122__M_Right_index_finger.BMP,122,1,0.9999999377811043,0.2
